District,Sub_District,Area_SqFt,BHK,Property_Type,Furnishing,Price_INR
Sector 18,Central Noida,1200,2,Apartment,Semi-Furnished,8500000
Sector 18,Sector 19,1150,2,Apartment,Fully Furnished,7800000
Sector 18,Sector 20,1100,2,Apartment,Unfurnished,7200000
Sector 62,Noida Extension,1300,3,Apartment,Semi-Furnished,9800000
Sector 62,Sector 63,1250,3,Apartment,Unfurnished,9200000
Sector 62,Sector 64,1350,3,Apartment,Semi-Furnished,10500000
Greater Noida,Pari Chowk,1400,3,Apartment,Fully Furnished,8800000
Greater Noida,Alpha 1,1350,3,Apartment,Semi-Furnished,8200000
Greater Noida,Beta 1,1300,3,Apartment,Unfurnished,7800000
Greater Noida,Beta 2,1400,3,Apartment,Semi-Furnished,8500000
Greater Noida,Gamma 1,1350,3,Apartment,Semi-Furnished,8200000
Sector 37,Film City,1250,3,Apartment,Semi-Furnished,9500000
Sector 37,Sector 38,1200,2,Apartment,Unfurnished,7800000
Sector 37,Sector 39,1300,3,Apartment,Semi-Furnished,9800000
Sector 78,Noida Expressway,1400,3,Apartment,Fully Furnished,12500000
Sector 78,Sector 79,1350,3,Apartment,Semi-Furnished,11800000
Sector 78,Sector 80,1300,3,Apartment,Unfurnished,10800000
Sector 137,Noida Expressway,1500,3,Apartment,Semi-Furnished,12800000
Sector 137,Sector 138,1450,3,Apartment,Semi-Furnished,12200000
Sector 137,Sector 139,1400,3,Apartment,Unfurnished,11500000
Sector 50,Central Noida,1100,2,Apartment,Semi-Furnished,7500000
Sector 50,Sector 51,1050,2,Apartment,Unfurnished,6800000
Sector 50,Sector 52,1150,2,Apartment,Semi-Furnished,7800000
Sector 25,Old Noida,1000,2,Apartment,Unfurnished,6200000
Sector 25,Sector 26,950,2,Apartment,Semi-Furnished,5800000
Sector 25,Sector 27,1050,2,Apartment,Semi-Furnished,6500000
Sector 104,Greater Noida West,1200,2,Apartment,Semi-Furnished,6800000
Sector 104,Sector 105,1150,2,Apartment,Unfurnished,6200000
Sector 104,Sector 106,1250,3,Apartment,Semi-Furnished,7500000
Yamuna Expressway,Sector 143,1600,4,Apartment,Fully Furnished,9800000
Yamuna Expressway,Sector 144,1550,4,Apartment,Semi-Furnished,9200000
Yamuna Expressway,Sector 150,1500,3,Apartment,Unfurnished,8500000
Knowledge Park,Greater Noida,1300,3,Apartment,Semi-Furnished,7800000
Knowledge Park,Knowledge Park 2,1250,3,Apartment,Unfurnished,7200000
Knowledge Park,Knowledge Park 3,1350,3,Apartment,Semi-Furnished,8200000
Tech Zone,Tech Zone 4,1400,3,Apartment,Semi-Furnished,9500000
Tech Zone,Sector 132,1350,3,Apartment,Unfurnished,8800000
Tech Zone,Sector 133,1450,3,Apartment,Semi-Furnished,10200000
Sector 18,Central Noida,2400,4,Independent House,Semi-Furnished,28500000
Sector 18,Sector 19,2300,4,Independent House,Fully Furnished,26500000
Sector 18,Sector 20,2200,4,Independent House,Unfurnished,24500000
Sector 62,Noida Extension,2600,5,Independent House,Semi-Furnished,32500000
Sector 62,Sector 63,2500,4,Independent House,Unfurnished,28500000
Sector 62,Sector 64,2700,5,Independent House,Semi-Furnished,35500000
Greater Noida,Pari Chowk,2800,5,Independent House,Fully Furnished,28500000
Greater Noida,Alpha 1,2700,5,Independent House,Semi-Furnished,26500000
Greater Noida,Beta 1,2600,5,Independent House,Unfurnished,24500000
Greater Noida,Beta 2,2800,5,Independent House,Semi-Furnished,27500000
Greater Noida,Gamma 1,2700,5,Independent House,Semi-Furnished,26200000
Sector 37,Film City,2500,4,Builder Floor,Semi-Furnished,28500000
Sector 37,Sector 38,2400,4,Builder Floor,Unfurnished,24500000
Sector 37,Sector 39,2600,5,Builder Floor,Semi-Furnished,32500000
Sector 78,Noida Expressway,2800,5,Independent House,Fully Furnished,48500000
Sector 78,Sector 79,2700,5,Independent House,Semi-Furnished,44500000
Sector 78,Sector 80,2600,5,Independent House,Unfurnished,41500000
Sector 137,Noida Expressway,3000,5,Independent House,Semi-Furnished,52500000
Sector 137,Sector 138,2900,5,Independent House,Semi-Furnished,48500000
Sector 137,Sector 139,2800,5,Independent House,Unfurnished,45500000
Sector 50,Central Noida,2200,4,Builder Floor,Semi-Furnished,26500000
Sector 50,Sector 51,2100,4,Builder Floor,Unfurnished,22500000
Sector 50,Sector 52,2300,4,Builder Floor,Semi-Furnished,28500000
Sector 25,Old Noida,2000,4,Builder Floor,Unfurnished,20500000
Sector 25,Sector 26,1900,3,Builder Floor,Semi-Furnished,18500000
Sector 25,Sector 27,2100,4,Builder Floor,Semi-Furnished,22500000
Sector 104,Greater Noida West,2400,4,Builder Floor,Semi-Furnished,22500000
Sector 104,Sector 105,2300,4,Builder Floor,Unfurnished,20500000
Sector 104,Sector 106,2500,4,Builder Floor,Semi-Furnished,24500000
Yamuna Expressway,Sector 143,3200,6,Independent House,Fully Furnished,38500000
Yamuna Expressway,Sector 144,3100,6,Independent House,Semi-Furnished,35500000
Yamuna Expressway,Sector 150,3000,5,Independent House,Unfurnished,32500000
Knowledge Park,Greater Noida,2600,5,Independent House,Semi-Furnished,26500000
Knowledge Park,Knowledge Park 2,2500,4,Independent House,Unfurnished,22500000
Knowledge Park,Knowledge Park 3,2700,5,Independent House,Semi-Furnished,28500000
Tech Zone,Tech Zone 4,2800,5,Independent House,Semi-Furnished,32500000
Tech Zone,Sector 132,2700,5,Independent House,Unfurnished,28500000
Tech Zone,Sector 133,2900,5,Independent House,Semi-Furnished,35500000
Sector 18,Central Noida,800,1,Apartment,Semi-Furnished,5500000
Sector 18,Sector 19,750,1,Apartment,Fully Furnished,5200000
Sector 18,Sector 20,700,1,Apartment,Unfurnished,4800000
Sector 62,Noida Extension,850,1,Apartment,Semi-Furnished,6200000
Sector 62,Sector 63,800,1,Apartment,Unfurnished,5800000
Sector 62,Sector 64,900,1,Apartment,Semi-Furnished,6800000
Greater Noida,Pari Chowk,900,1,Apartment,Fully Furnished,5800000
Greater Noida,Alpha 1,850,1,Apartment,Semi-Furnished,5500000
Greater Noida,Beta 1,850,1,Apartment,Unfurnished,5200000
Greater Noida,Beta 2,900,1,Apartment,Semi-Furnished,5800000
Greater Noida,Gamma 1,850,1,Apartment,Semi-Furnished,5500000
Sector 37,Film City,850,1,Apartment,Semi-Furnished,6200000
Sector 37,Sector 38,800,1,Apartment,Unfurnished,5200000
Sector 37,Sector 39,900,1,Apartment,Semi-Furnished,6500000
Sector 78,Noida Expressway,950,1,Apartment,Fully Furnished,8500000
Sector 78,Sector 79,900,1,Apartment,Semi-Furnished,7800000
Sector 78,Sector 80,850,1,Apartment,Unfurnished,7200000
Sector 137,Noida Expressway,1000,1,Apartment,Semi-Furnished,8800000
Sector 137,Sector 138,950,1,Apartment,Semi-Furnished,8200000
Sector 137,Sector 139,900,1,Apartment,Unfurnished,7500000
Sector 50,Central Noida,750,1,Apartment,Semi-Furnished,5200000
Sector 50,Sector 51,700,1,Apartment,Unfurnished,4500000
Sector 50,Sector 52,800,1,Apartment,Semi-Furnished,5500000
Sector 25,Old Noida,700,1,Apartment,Unfurnished,4200000
Sector 25,Sector 26,650,1,Apartment,Semi-Furnished,3800000
Sector 25,Sector 27,750,1,Apartment,Semi-Furnished,4500000
Sector 104,Greater Noida West,800,1,Apartment,Semi-Furnished,4500000
Sector 104,Sector 105,750,1,Apartment,Unfurnished,4200000
Sector 104,Sector 106,850,1,Apartment,Semi-Furnished,5200000
Yamuna Expressway,Sector 143,1100,2,Apartment,Fully Furnished,6800000
Yamuna Expressway,Sector 144,1050,2,Apartment,Semi-Furnished,6200000
Yamuna Expressway,Sector 150,1000,1,Apartment,Unfurnished,5800000
Knowledge Park,Greater Noida,900,1,Apartment,Semi-Furnished,5200000
Knowledge Park,Knowledge Park 2,850,1,Apartment,Unfurnished,4800000
Knowledge Park,Knowledge Park 3,950,1,Apartment,Semi-Furnished,5800000
Tech Zone,Tech Zone 4,950,1,Apartment,Semi-Furnished,6500000
Tech Zone,Sector 132,900,1,Apartment,Unfurnished,5800000
Tech Zone,Sector 133,1000,1,Apartment,Semi-Furnished,7200000
Sector 18,Central Noida,1600,3,Apartment,Semi-Furnished,13500000
Sector 18,Sector 19,1550,3,Apartment,Fully Furnished,12800000
Sector 18,Sector 20,1500,3,Apartment,Unfurnished,11800000
Sector 62,Noida Extension,1700,4,Apartment,Semi-Furnished,15500000
Sector 62,Sector 63,1650,4,Apartment,Unfurnished,14500000
Sector 62,Sector 64,1750,4,Apartment,Semi-Furnished,16800000
Greater Noida,Pari Chowk,1800,4,Apartment,Fully Furnished,14200000
Greater Noida,Alpha 1,1750,4,Apartment,Semi-Furnished,13200000
Greater Noida,Beta 1,1700,4,Apartment,Unfurnished,12500000
Greater Noida,Beta 2,1800,4,Apartment,Semi-Furnished,13800000
Greater Noida,Gamma 1,1750,4,Apartment,Semi-Furnished,13200000
Sector 37,Film City,1650,4,Apartment,Semi-Furnished,15500000
Sector 37,Sector 38,1600,3,Apartment,Unfurnished,12500000
Sector 37,Sector 39,1700,4,Apartment,Semi-Furnished,16200000
Sector 78,Noida Expressway,1850,4,Apartment,Fully Furnished,20500000
Sector 78,Sector 79,1800,4,Apartment,Semi-Furnished,19200000
Sector 78,Sector 80,1750,4,Apartment,Unfurnished,17800000
Sector 137,Noida Expressway,1950,4,Apartment,Semi-Furnished,21500000
Sector 137,Sector 138,1900,4,Apartment,Semi-Furnished,20200000
Sector 137,Sector 139,1850,4,Apartment,Unfurnished,18800000
Sector 50,Central Noida,1500,3,Apartment,Semi-Furnished,12200000
Sector 50,Sector 51,1450,3,Apartment,Unfurnished,10800000
Sector 50,Sector 52,1550,3,Apartment,Semi-Furnished,12800000
Sector 25,Old Noida,1400,3,Apartment,Unfurnished,9800000
Sector 25,Sector 26,1350,3,Apartment,Semi-Furnished,9200000
Sector 25,Sector 27,1450,3,Apartment,Semi-Furnished,10500000
Sector 104,Greater Noida West,1550,3,Apartment,Semi-Furnished,10800000
Sector 104,Sector 105,1500,3,Apartment,Unfurnished,9800000
Sector 104,Sector 106,1600,4,Apartment,Semi-Furnished,12200000
Yamuna Expressway,Sector 143,2100,5,Apartment,Fully Furnished,16800000
Yamuna Expressway,Sector 144,2050,5,Apartment,Semi-Furnished,15500000
Yamuna Expressway,Sector 150,2000,4,Apartment,Unfurnished,14200000
Knowledge Park,Greater Noida,1700,4,Apartment,Semi-Furnished,12500000
Knowledge Park,Knowledge Park 2,1650,4,Apartment,Unfurnished,11500000
Knowledge Park,Knowledge Park 3,1750,4,Apartment,Semi-Furnished,13500000
Tech Zone,Tech Zone 4,1850,4,Apartment,Semi-Furnished,15500000
Tech Zone,Sector 132,1800,4,Apartment,Unfurnished,14200000
Tech Zone,Sector 133,1900,4,Apartment,Semi-Furnished,16800000
Sector 18,Central Noida,2200,5,Apartment,Semi-Furnished,22500000
Sector 18,Sector 19,2150,5,Apartment,Fully Furnished,21200000
Sector 18,Sector 20,2100,5,Apartment,Unfurnished,19500000
Sector 62,Noida Extension,2400,5,Apartment,Semi-Furnished,26500000
Sector 62,Sector 63,2350,5,Apartment,Unfurnished,24500000
Sector 62,Sector 64,2450,5,Apartment,Semi-Furnished,28500000
Greater Noida,Pari Chowk,2500,5,Apartment,Fully Furnished,24500000
Greater Noida,Alpha 1,2450,5,Apartment,Semi-Furnished,22500000
Greater Noida,Beta 1,2400,5,Apartment,Unfurnished,21200000
Greater Noida,Beta 2,2500,5,Apartment,Semi-Furnished,23800000
Greater Noida,Gamma 1,2450,5,Apartment,Semi-Furnished,22800000
Sector 37,Film City,2300,5,Apartment,Semi-Furnished,26500000
Sector 37,Sector 38,2250,5,Apartment,Unfurnished,21500000
Sector 37,Sector 39,2400,5,Apartment,Semi-Furnished,28500000
Sector 78,Noida Expressway,2600,6,Apartment,Fully Furnished,38500000
Sector 78,Sector 79,2550,6,Apartment,Semi-Furnished,35500000
Sector 78,Sector 80,2500,5,Apartment,Unfurnished,32500000
Sector 137,Noida Expressway,2700,6,Apartment,Semi-Furnished,42500000
Sector 137,Sector 138,2650,6,Apartment,Semi-Furnished,39500000
Sector 137,Sector 139,2600,5,Apartment,Unfurnished,36500000
Sector 50,Central Noida,2200,5,Apartment,Semi-Furnished,22500000
Sector 50,Sector 51,2150,5,Apartment,Unfurnished,19500000
Sector 50,Sector 52,2250,5,Apartment,Semi-Furnished,23500000
Sector 25,Old Noida,2100,5,Apartment,Unfurnished,18500000
Sector 25,Sector 26,2050,4,Apartment,Semi-Furnished,17200000
Sector 25,Sector 27,2150,5,Apartment,Semi-Furnished,19800000
Sector 104,Greater Noida West,2250,5,Apartment,Semi-Furnished,20500000
Sector 104,Sector 105,2200,5,Apartment,Unfurnished,18500000
Sector 104,Sector 106,2300,5,Apartment,Semi-Furnished,22500000
Yamuna Expressway,Sector 143,2900,6,Apartment,Fully Furnished,32500000
Yamuna Expressway,Sector 144,2850,6,Apartment,Semi-Furnished,29500000
Yamuna Expressway,Sector 150,2800,6,Apartment,Unfurnished,26500000
Knowledge Park,Greater Noida,2400,5,Apartment,Semi-Furnished,22500000
Knowledge Park,Knowledge Park 2,2350,5,Apartment,Unfurnished,20500000
Knowledge Park,Knowledge Park 3,2450,5,Apartment,Semi-Furnished,24500000
Tech Zone,Tech Zone 4,2600,6,Apartment,Semi-Furnished,28500000
Tech Zone,Sector 132,2550,5,Apartment,Unfurnished,25500000
Tech Zone,Sector 133,2650,6,Apartment,Semi-Furnished,31500000
