City,District,Sub_District,Area_SqFt,BHK,Property_Type,Furnishing,Price_INR,Price_per_SqFt
Mumbai,Andheri West,Versova,850,2,Apartment,Semi-Furnished,12500000,14706
Mumbai,Andheri West,Oshiwara,1200,3,Apartment,Furnished,18000000,15000
Mumbai,Bandra West,Linking Road,950,2,Apartment,Furnished,22000000,23158
Mumbai,Bandra West,Hill Road,1400,3,Apartment,Semi-Furnished,28000000,20000
Mumbai,Borivali West,Kandivali,1100,3,Apartment,Unfurnished,9500000,8636
Mumbai,Borivali West,Malad,1000,2,Apartment,Semi-Furnished,8800000,8800
Mumbai,Powai,Hiranandani,1300,3,Apartment,Furnished,16500000,12692
Mumbai,Powai,Central Park,1150,3,Apartment,Semi-Furnished,15200000,13217
Mumbai,Thane West,Ghodbunder Road,1250,3,Apartment,Furnished,11000000,8800
Mumbai,Thane West,Kasarvadavali,1050,2,Apartment,Semi-Furnished,9200000,8762
Mumbai,Juhu,Juhu Beach,1800,4,Apartment,Furnished,45000000,25000
Mumbai,Juhu,JVPD Scheme,1600,3,Apartment,Furnished,38000000,23750
Mumbai,Worli,Lower Parel,1100,2,Apartment,Furnished,28000000,25455
Mumbai,Worli,Prabhadevi,1300,3,Apartment,Semi-Furnished,32000000,24615
Mumbai,Goregaon West,Malad Link Road,980,2,Apartment,Unfurnished,8500000,8673
Mumbai,Goregaon West,Film City Road,1200,3,Apartment,Semi-Furnished,12000000,10000
Mumbai,Santacruz West,Khar Danda,1050,2,Apartment,Furnished,19500000,18571
Mumbai,Santacruz West,Linking Road,1250,3,Apartment,Furnished,24000000,19200
Mumbai,Vile Parle East,Nehru Road,900,2,Apartment,Semi-Furnished,11500000,12778
Mumbai,Vile Parle East,Western Express Highway,1100,3,Apartment,Unfurnished,13000000,11818
Mumbai,Kandivali East,Thakur Complex,1000,2,Apartment,Furnished,10500000,10500
Mumbai,Kandivali East,Lokhandwala Complex,1300,3,Apartment,Semi-Furnished,14500000,11154
Mumbai,Dahisar West,Borivali National Park,1150,3,Apartment,Unfurnished,8200000,7130
Mumbai,Dahisar West,Link Road,950,2,Apartment,Semi-Furnished,7800000,8211
Mumbai,Chembur East,Govandi,800,2,Apartment,Unfurnished,9500000,11875
Mumbai,Chembur East,RCF Colony,1000,2,Apartment,Semi-Furnished,11000000,11000
Mumbai,Mulund West,Nahur West,1200,3,Apartment,Furnished,12500000,10417
Mumbai,Mulund West,Johnson & Johnson,1050,2,Apartment,Semi-Furnished,10800000,10286
Mumbai,Navi Mumbai,Vashi,1100,3,Apartment,Furnished,9800000,8909
Mumbai,Navi Mumbai,Nerul,1250,3,Apartment,Semi-Furnished,10500000,8400