city,district,sub_district,area_sqft,bhk,property_type,furnishing,price_inr,price_per_sqft
Noida,Greater Noida,Alpha 1,850.0,1,Apartment,Semi-Furnished,5500000.0,6470.588235294118
Noida,Greater Noida,Alpha 1,1750.0,4,Apartment,Semi-Furnished,13200000.0,7542.857142857143
Noida,Greater Noida,Alpha 1,1350.0,3,Apartment,Semi-Furnished,8200000.0,6074.074074074074
Noida,Greater Noida,Alpha 1,2700.0,5,Independent House,Semi-Furnished,26500000.0,9814.814814814816
Noida,Greater Noida,Alpha 1,2450.0,5,Apartment,Semi-Furnished,22500000.0,9183.673469387755
Noida,Greater Noida,Beta 1,2600.0,5,Independent House,Unfurnished,24500000.0,9423.076923076924
Noida,Greater Noida,Beta 1,850.0,1,Apartment,Unfurnished,5200000.0,6117.64705882353
Noida,Greater Noida,Beta 1,2400.0,5,Apartment,Unfurnished,21200000.0,8833.333333333334
Noida,Greater Noida,Beta 1,1300.0,3,Apartment,Unfurnished,7800000.0,6000.0
Noida,Greater Noida,Beta 1,1700.0,4,Apartment,Unfurnished,12500000.0,7352.941176470588
Noida,Greater Noida,Beta 2,1800.0,4,Apartment,Semi-Furnished,13800000.0,7666.666666666667
Noida,Greater Noida,Beta 2,2800.0,5,Independent House,Semi-Furnished,27500000.0,9821.42857142857
Noida,Greater Noida,Beta 2,1400.0,3,Apartment,Semi-Furnished,8500000.0,6071.428571428572
Noida,Greater Noida,Beta 2,900.0,1,Apartment,Semi-Furnished,5800000.0,6444.444444444444
Noida,Greater Noida,Beta 2,2500.0,5,Apartment,Semi-Furnished,23800000.0,9520.0
Noida,Greater Noida,Gamma 1,2450.0,5,Apartment,Semi-Furnished,22800000.0,9306.122448979591
Noida,Greater Noida,Gamma 1,1350.0,3,Apartment,Semi-Furnished,8200000.0,6074.074074074074
Noida,Greater Noida,Gamma 1,2700.0,5,Independent House,Semi-Furnished,26200000.0,9703.703703703704
Noida,Greater Noida,Gamma 1,1750.0,4,Apartment,Semi-Furnished,13200000.0,7542.857142857143
Noida,Greater Noida,Gamma 1,850.0,1,Apartment,Semi-Furnished,5500000.0,6470.588235294118
Noida,Greater Noida,Pari Chowk,900.0,1,Apartment,Fully Furnished,5800000.0,6444.444444444444
Noida,Greater Noida,Pari Chowk,2800.0,5,Independent House,Fully Furnished,28500000.0,10178.57142857143
Noida,Greater Noida,Pari Chowk,1800.0,4,Apartment,Fully Furnished,14200000.0,7888.888888888889
Noida,Greater Noida,Pari Chowk,1400.0,3,Apartment,Fully Furnished,8800000.0,6285.714285714285
Noida,Greater Noida,Pari Chowk,2500.0,5,Apartment,Fully Furnished,24500000.0,9800.0
Noida,Knowledge Park,Greater Noida,900.0,1,Apartment,Semi-Furnished,5200000.0,5777.777777777777
Noida,Knowledge Park,Greater Noida,2400.0,5,Apartment,Semi-Furnished,22500000.0,9375.0
Noida,Knowledge Park,Greater Noida,2600.0,5,Independent House,Semi-Furnished,26500000.0,10192.307692307691
Noida,Knowledge Park,Greater Noida,1700.0,4,Apartment,Semi-Furnished,12500000.0,7352.941176470588
Noida,Knowledge Park,Greater Noida,1300.0,3,Apartment,Semi-Furnished,7800000.0,6000.0
Noida,Knowledge Park,Knowledge Park 2,2500.0,4,Independent House,Unfurnished,22500000.0,9000.0
Noida,Knowledge Park,Knowledge Park 2,850.0,1,Apartment,Unfurnished,4800000.0,5647.058823529412
Noida,Knowledge Park,Knowledge Park 2,2350.0,5,Apartment,Unfurnished,20500000.0,8723.404255319148
Noida,Knowledge Park,Knowledge Park 2,1250.0,3,Apartment,Unfurnished,7200000.0,5760.0
Noida,Knowledge Park,Knowledge Park 2,1650.0,4,Apartment,Unfurnished,11500000.0,6969.69696969697
Noida,Knowledge Park,Knowledge Park 3,2700.0,5,Independent House,Semi-Furnished,28500000.0,10555.555555555555
Noida,Knowledge Park,Knowledge Park 3,1750.0,4,Apartment,Semi-Furnished,13500000.0,7714.285714285715
Noida,Knowledge Park,Knowledge Park 3,1350.0,3,Apartment,Semi-Furnished,8200000.0,6074.074074074074
Noida,Knowledge Park,Knowledge Park 3,2450.0,5,Apartment,Semi-Furnished,24500000.0,10000.0
Noida,Knowledge Park,Knowledge Park 3,950.0,1,Apartment,Semi-Furnished,5800000.0,6105.263157894737
Noida,Sector 104,Greater Noida West,800.0,1,Apartment,Semi-Furnished,4500000.0,5625.0
Noida,Sector 104,Greater Noida West,2400.0,4,Builder Floor,Semi-Furnished,22500000.0,9375.0
Noida,Sector 104,Greater Noida West,1200.0,2,Apartment,Semi-Furnished,6800000.0,5666.666666666667
Noida,Sector 104,Greater Noida West,2250.0,5,Apartment,Semi-Furnished,20500000.0,9111.111111111111
Noida,Sector 104,Greater Noida West,1550.0,3,Apartment,Semi-Furnished,10800000.0,6967.741935483871
Noida,Sector 104,Sector 105,750.0,1,Apartment,Unfurnished,4200000.0,5600.0
Noida,Sector 104,Sector 105,2300.0,4,Builder Floor,Unfurnished,20500000.0,8913.04347826087
Noida,Sector 104,Sector 105,2200.0,5,Apartment,Unfurnished,18500000.0,8409.09090909091
Noida,Sector 104,Sector 105,1500.0,3,Apartment,Unfurnished,9800000.0,6533.333333333333
Noida,Sector 104,Sector 105,1150.0,2,Apartment,Unfurnished,6200000.0,5391.304347826087
Noida,Sector 104,Sector 106,1600.0,4,Apartment,Semi-Furnished,12200000.0,7625.0
Noida,Sector 104,Sector 106,850.0,1,Apartment,Semi-Furnished,5200000.0,6117.64705882353
Noida,Sector 104,Sector 106,2300.0,5,Apartment,Semi-Furnished,22500000.0,9782.608695652174
Noida,Sector 104,Sector 106,2500.0,4,Builder Floor,Semi-Furnished,24500000.0,9800.0
Noida,Sector 104,Sector 106,1250.0,3,Apartment,Semi-Furnished,7500000.0,6000.0
Noida,Sector 137,Noida Expressway,1950.0,4,Apartment,Semi-Furnished,21500000.0,11025.641025641025
Noida,Sector 137,Noida Expressway,1500.0,3,Apartment,Semi-Furnished,12800000.0,8533.333333333334
Noida,Sector 137,Noida Expressway,3000.0,5,Independent House,Semi-Furnished,52500000.0,17500.0
Noida,Sector 137,Noida Expressway,1000.0,1,Apartment,Semi-Furnished,8800000.0,8800.0
Noida,Sector 137,Noida Expressway,2700.0,6,Apartment,Semi-Furnished,42500000.0,15740.74074074074
Noida,Sector 137,Sector 138,950.0,1,Apartment,Semi-Furnished,8200000.0,8631.578947368422
Noida,Sector 137,Sector 138,1900.0,4,Apartment,Semi-Furnished,20200000.0,10631.578947368422
Noida,Sector 137,Sector 138,2650.0,6,Apartment,Semi-Furnished,39500000.0,14905.66037735849
Noida,Sector 137,Sector 138,2900.0,5,Independent House,Semi-Furnished,48500000.0,16724.137931034482
Noida,Sector 137,Sector 138,1450.0,3,Apartment,Semi-Furnished,12200000.0,8413.793103448275
Noida,Sector 137,Sector 139,900.0,1,Apartment,Unfurnished,7500000.0,8333.333333333334
Noida,Sector 137,Sector 139,1850.0,4,Apartment,Unfurnished,18800000.0,10162.162162162162
Noida,Sector 137,Sector 139,1400.0,3,Apartment,Unfurnished,11500000.0,8214.285714285714
Noida,Sector 137,Sector 139,2600.0,5,Apartment,Unfurnished,36500000.0,14038.461538461539
Noida,Sector 137,Sector 139,2800.0,5,Independent House,Unfurnished,45500000.0,16250.0
Noida,Sector 18,Central Noida,1200.0,2,Apartment,Semi-Furnished,8500000.0,7083.333333333333
Noida,Sector 18,Central Noida,2400.0,4,Independent House,Semi-Furnished,28500000.0,11875.0
Noida,Sector 18,Central Noida,800.0,1,Apartment,Semi-Furnished,5500000.0,6875.0
Noida,Sector 18,Central Noida,1600.0,3,Apartment,Semi-Furnished,13500000.0,8437.5
Noida,Sector 18,Central Noida,2200.0,5,Apartment,Semi-Furnished,22500000.0,10227.272727272728
Noida,Sector 18,Sector 19,2150.0,5,Apartment,Fully Furnished,21200000.0,9860.46511627907
Noida,Sector 18,Sector 19,1150.0,2,Apartment,Fully Furnished,7800000.0,6782.608695652174
Noida,Sector 18,Sector 19,2300.0,4,Independent House,Fully Furnished,26500000.0,11521.739130434782
Noida,Sector 18,Sector 19,750.0,1,Apartment,Fully Furnished,5200000.0,6933.333333333333
Noida,Sector 18,Sector 19,1550.0,3,Apartment,Fully Furnished,12800000.0,8258.064516129032
Noida,Sector 18,Sector 20,2200.0,4,Independent House,Unfurnished,24500000.0,11136.363636363636
Noida,Sector 18,Sector 20,700.0,1,Apartment,Unfurnished,4800000.0,6857.142857142857
Noida,Sector 18,Sector 20,2100.0,5,Apartment,Unfurnished,19500000.0,9285.714285714286
Noida,Sector 18,Sector 20,1500.0,3,Apartment,Unfurnished,11800000.0,7866.666666666667
Noida,Sector 18,Sector 20,1100.0,2,Apartment,Unfurnished,7200000.0,6545.454545454545
Noida,Sector 25,Old Noida,700.0,1,Apartment,Unfurnished,4200000.0,6000.0
Noida,Sector 25,Old Noida,1000.0,2,Apartment,Unfurnished,6200000.0,6200.0
Noida,Sector 25,Old Noida,2000.0,4,Builder Floor,Unfurnished,20500000.0,10250.0
Noida,Sector 25,Old Noida,1400.0,3,Apartment,Unfurnished,9800000.0,7000.0
Noida,Sector 25,Old Noida,2100.0,5,Apartment,Unfurnished,18500000.0,8809.52380952381
Noida,Sector 25,Sector 26,1900.0,3,Builder Floor,Semi-Furnished,18500000.0,9736.842105263158
Noida,Sector 25,Sector 26,950.0,2,Apartment,Semi-Furnished,5800000.0,6105.263157894737
Noida,Sector 25,Sector 26,650.0,1,Apartment,Semi-Furnished,3800000.0,5846.153846153846
Noida,Sector 25,Sector 26,2050.0,4,Apartment,Semi-Furnished,17200000.0,8390.243902439024
Noida,Sector 25,Sector 26,1350.0,3,Apartment,Semi-Furnished,9200000.0,6814.814814814815
Noida,Sector 25,Sector 27,750.0,1,Apartment,Semi-Furnished,4500000.0,6000.0
Noida,Sector 25,Sector 27,1050.0,2,Apartment,Semi-Furnished,6500000.0,6190.476190476191
Noida,Sector 25,Sector 27,2150.0,5,Apartment,Semi-Furnished,19800000.0,9209.302325581395
Noida,Sector 25,Sector 27,1450.0,3,Apartment,Semi-Furnished,10500000.0,7241.379310344828
Noida,Sector 25,Sector 27,2100.0,4,Builder Floor,Semi-Furnished,22500000.0,10714.285714285714
Noida,Sector 37,Film City,850.0,1,Apartment,Semi-Furnished,6200000.0,7294.117647058823
Noida,Sector 37,Film City,1650.0,4,Apartment,Semi-Furnished,15500000.0,9393.939393939394
Noida,Sector 37,Film City,2300.0,5,Apartment,Semi-Furnished,26500000.0,11521.739130434782
Noida,Sector 37,Film City,1250.0,3,Apartment,Semi-Furnished,9500000.0,7600.0
Noida,Sector 37,Film City,2500.0,4,Builder Floor,Semi-Furnished,28500000.0,11400.0
Noida,Sector 37,Sector 38,1200.0,2,Apartment,Unfurnished,7800000.0,6500.0
Noida,Sector 37,Sector 38,800.0,1,Apartment,Unfurnished,5200000.0,6500.0
Noida,Sector 37,Sector 38,2400.0,4,Builder Floor,Unfurnished,24500000.0,10208.333333333334
Noida,Sector 37,Sector 38,1600.0,3,Apartment,Unfurnished,12500000.0,7812.5
Noida,Sector 37,Sector 38,2250.0,5,Apartment,Unfurnished,21500000.0,9555.555555555555
Noida,Sector 37,Sector 39,1700.0,4,Apartment,Semi-Furnished,16200000.0,9529.411764705883
Noida,Sector 37,Sector 39,900.0,1,Apartment,Semi-Furnished,6500000.0,7222.222222222223
Noida,Sector 37,Sector 39,2600.0,5,Builder Floor,Semi-Furnished,32500000.0,12500.0
Noida,Sector 37,Sector 39,2400.0,5,Apartment,Semi-Furnished,28500000.0,11875.0
Noida,Sector 37,Sector 39,1300.0,3,Apartment,Semi-Furnished,9800000.0,7538.461538461538
Noida,Sector 50,Central Noida,750.0,1,Apartment,Semi-Furnished,5200000.0,6933.333333333333
Noida,Sector 50,Central Noida,2200.0,4,Builder Floor,Semi-Furnished,26500000.0,12045.454545454546
Noida,Sector 50,Central Noida,2200.0,5,Apartment,Semi-Furnished,22500000.0,10227.272727272728
Noida,Sector 50,Central Noida,1100.0,2,Apartment,Semi-Furnished,7500000.0,6818.181818181818
Noida,Sector 50,Central Noida,1500.0,3,Apartment,Semi-Furnished,12200000.0,8133.333333333333
Noida,Sector 50,Sector 51,1450.0,3,Apartment,Unfurnished,10800000.0,7448.275862068966
Noida,Sector 50,Sector 51,2150.0,5,Apartment,Unfurnished,19500000.0,9069.767441860466
Noida,Sector 50,Sector 51,1050.0,2,Apartment,Unfurnished,6800000.0,6476.190476190476
Noida,Sector 50,Sector 51,2100.0,4,Builder Floor,Unfurnished,22500000.0,10714.285714285714
Noida,Sector 50,Sector 51,700.0,1,Apartment,Unfurnished,4500000.0,6428.571428571428
Noida,Sector 50,Sector 52,2300.0,4,Builder Floor,Semi-Furnished,28500000.0,12391.304347826086
Noida,Sector 50,Sector 52,800.0,1,Apartment,Semi-Furnished,5500000.0,6875.0
Noida,Sector 50,Sector 52,2250.0,5,Apartment,Semi-Furnished,23500000.0,10444.444444444445
Noida,Sector 50,Sector 52,1550.0,3,Apartment,Semi-Furnished,12800000.0,8258.064516129032
Noida,Sector 50,Sector 52,1150.0,2,Apartment,Semi-Furnished,7800000.0,6782.608695652174
Noida,Sector 62,Noida Extension,2600.0,5,Independent House,Semi-Furnished,32500000.0,12500.0
Noida,Sector 62,Noida Extension,850.0,1,Apartment,Semi-Furnished,6200000.0,7294.117647058823
Noida,Sector 62,Noida Extension,1700.0,4,Apartment,Semi-Furnished,15500000.0,9117.64705882353
Noida,Sector 62,Noida Extension,2400.0,5,Apartment,Semi-Furnished,26500000.0,11041.666666666666
Noida,Sector 62,Noida Extension,1300.0,3,Apartment,Semi-Furnished,9800000.0,7538.461538461538
Noida,Sector 62,Sector 63,2350.0,5,Apartment,Unfurnished,24500000.0,10425.531914893618
Noida,Sector 62,Sector 63,1250.0,3,Apartment,Unfurnished,9200000.0,7360.0
Noida,Sector 62,Sector 63,2500.0,4,Independent House,Unfurnished,28500000.0,11400.0
Noida,Sector 62,Sector 63,1650.0,4,Apartment,Unfurnished,14500000.0,8787.878787878788
Noida,Sector 62,Sector 63,800.0,1,Apartment,Unfurnished,5800000.0,7250.0
Noida,Sector 62,Sector 64,1750.0,4,Apartment,Semi-Furnished,16800000.0,9600.0
Noida,Sector 62,Sector 64,900.0,1,Apartment,Semi-Furnished,6800000.0,7555.555555555556
Noida,Sector 62,Sector 64,1350.0,3,Apartment,Semi-Furnished,10500000.0,7777.777777777777
Noida,Sector 62,Sector 64,2450.0,5,Apartment,Semi-Furnished,28500000.0,11632.65306122449
Noida,Sector 62,Sector 64,2700.0,5,Independent House,Semi-Furnished,35500000.0,13148.148148148148
Noida,Sector 78,Noida Expressway,2800.0,5,Independent House,Fully Furnished,48500000.0,17321.428571428572
Noida,Sector 78,Noida Expressway,1400.0,3,Apartment,Fully Furnished,12500000.0,8928.57142857143
Noida,Sector 78,Noida Expressway,2600.0,6,Apartment,Fully Furnished,38500000.0,14807.692307692309
Noida,Sector 78,Noida Expressway,950.0,1,Apartment,Fully Furnished,8500000.0,8947.368421052632
Noida,Sector 78,Noida Expressway,1850.0,4,Apartment,Fully Furnished,20500000.0,11081.081081081082
Noida,Sector 78,Sector 79,2700.0,5,Independent House,Semi-Furnished,44500000.0,16481.48148148148
Noida,Sector 78,Sector 79,900.0,1,Apartment,Semi-Furnished,7800000.0,8666.666666666666
Noida,Sector 78,Sector 79,1800.0,4,Apartment,Semi-Furnished,19200000.0,10666.666666666666
Noida,Sector 78,Sector 79,1350.0,3,Apartment,Semi-Furnished,11800000.0,8740.74074074074
Noida,Sector 78,Sector 79,2550.0,6,Apartment,Semi-Furnished,35500000.0,13921.56862745098
Noida,Sector 78,Sector 80,2600.0,5,Independent House,Unfurnished,41500000.0,15961.538461538461
Noida,Sector 78,Sector 80,1300.0,3,Apartment,Unfurnished,10800000.0,8307.692307692309
Noida,Sector 78,Sector 80,1750.0,4,Apartment,Unfurnished,17800000.0,10171.42857142857
Noida,Sector 78,Sector 80,2500.0,5,Apartment,Unfurnished,32500000.0,13000.0
Noida,Sector 78,Sector 80,850.0,1,Apartment,Unfurnished,7200000.0,8470.588235294117
Noida,Tech Zone,Sector 132,2700.0,5,Independent House,Unfurnished,28500000.0,10555.555555555555
Noida,Tech Zone,Sector 132,1800.0,4,Apartment,Unfurnished,14200000.0,7888.888888888889
Noida,Tech Zone,Sector 132,900.0,1,Apartment,Unfurnished,5800000.0,6444.444444444444
Noida,Tech Zone,Sector 132,2550.0,5,Apartment,Unfurnished,25500000.0,10000.0
Noida,Tech Zone,Sector 132,1350.0,3,Apartment,Unfurnished,8800000.0,6518.518518518518
Noida,Tech Zone,Sector 133,1900.0,4,Apartment,Semi-Furnished,16800000.0,8842.105263157895
Noida,Tech Zone,Sector 133,1450.0,3,Apartment,Semi-Furnished,10200000.0,7034.482758620689
Noida,Tech Zone,Sector 133,1000.0,1,Apartment,Semi-Furnished,7200000.0,7200.0
Noida,Tech Zone,Sector 133,2900.0,5,Independent House,Semi-Furnished,35500000.0,12241.379310344828
Noida,Tech Zone,Sector 133,2650.0,6,Apartment,Semi-Furnished,31500000.0,11886.792452830188
Noida,Tech Zone,Tech Zone 4,2800.0,5,Independent House,Semi-Furnished,32500000.0,11607.142857142857
Noida,Tech Zone,Tech Zone 4,950.0,1,Apartment,Semi-Furnished,6500000.0,6842.105263157895
Noida,Tech Zone,Tech Zone 4,1850.0,4,Apartment,Semi-Furnished,15500000.0,8378.378378378378
Noida,Tech Zone,Tech Zone 4,1400.0,3,Apartment,Semi-Furnished,9500000.0,6785.714285714285
Noida,Tech Zone,Tech Zone 4,2600.0,6,Apartment,Semi-Furnished,28500000.0,10961.538461538461
Noida,Yamuna Expressway,Sector 143,1600.0,4,Apartment,Fully Furnished,9800000.0,6125.0
Noida,Yamuna Expressway,Sector 143,2900.0,6,Apartment,Fully Furnished,32500000.0,11206.896551724138
Noida,Yamuna Expressway,Sector 143,2100.0,5,Apartment,Fully Furnished,16800000.0,8000.0
Noida,Yamuna Expressway,Sector 143,3200.0,6,Independent House,Fully Furnished,38500000.0,12031.25
Noida,Yamuna Expressway,Sector 143,1100.0,2,Apartment,Fully Furnished,6800000.0,6181.818181818182
Noida,Yamuna Expressway,Sector 144,1550.0,4,Apartment,Semi-Furnished,9200000.0,5935.4838709677415
Noida,Yamuna Expressway,Sector 144,1050.0,2,Apartment,Semi-Furnished,6200000.0,5904.761904761905
Noida,Yamuna Expressway,Sector 144,2050.0,5,Apartment,Semi-Furnished,15500000.0,7560.975609756098
Noida,Yamuna Expressway,Sector 144,2850.0,6,Apartment,Semi-Furnished,29500000.0,10350.877192982456
Noida,Yamuna Expressway,Sector 144,3100.0,6,Independent House,Semi-Furnished,35500000.0,11451.612903225807
Noida,Yamuna Expressway,Sector 150,1000.0,1,Apartment,Unfurnished,5800000.0,5800.0
Noida,Yamuna Expressway,Sector 150,2000.0,4,Apartment,Unfurnished,14200000.0,7100.0
Noida,Yamuna Expressway,Sector 150,3000.0,5,Independent House,Unfurnished,32500000.0,10833.333333333334
Noida,Yamuna Expressway,Sector 150,1500.0,3,Apartment,Unfurnished,8500000.0,5666.666666666667
Noida,Yamuna Expressway,Sector 150,2800.0,6,Apartment,Unfurnished,26500000.0,9464.285714285714
